ID,Monthly_Revenue,Net_Profit_Margin (%),Burn_Rate_Ratio,Transaction_Count,Avg_Historical_Rating,Review_Text,Review_Volatility,Business_Tenure_Months,Repeat_Order_Rate (%),Digital_Adoption_Score,Peak_Hour_Latency,Location_Competitiveness,Sentiment_Score,Class
1,6680716,22.72,0.811,161,4.75,"Transaksi digital lancar, proses checkout tidak ribet. Ad eius dolore qui.",0.313,105,19.4,4.24,Low,9,-0.25,Growth
2,5819101,4.46,0.968,104,4.21,"Harga dan kualitas seimbang, pengalaman biasa saja. Assumenda in adipisci dolor magnam ad dicta.",0.632,95,14.87,1.27,Med,10,0.0,Growth
3,5236404,-10.12,1.047,102,3.51,"Pelayanan standar, masih bisa ditingkatkan.",0.47,17,21.0,3.37,Med,8,0.0,Struggling
4,8043552,0.04,0.969,99,4.33,"Transaksi digital lancar, proses checkout tidak ribet.",0.206,109,30.62,5.41,Low,13,-0.25,Growth
5,6071256,4.22,0.954,115,4.34,Selalu repeat order karena kualitasnya terjaga. In ipsum eius sit quis cum in.,0.232,74,20.87,2.67,Low,7,0.25,Growth
6,6683141,29.68,0.727,108,4.54,"Pengiriman cepat, admin komunikatif. Culpa vero excepturi at atque.",0.185,23,26.35,5.59,Low,16,0.55,Elite
7,14123932,15.28,0.86,167,4.54,"Produk cukup baik, kadang waktu tunggu agak lama. Nobis rem quas modi voluptate fugiat.",0.434,105,22.15,3.95,Med,6,0.0,Growth
8,8483571,8.51,0.862,180,4.83,Selalu repeat order karena kualitasnya terjaga.,0.346,124,23.17,7.59,Low,10,0.25,Growth
9,14900709,6.0,0.908,135,4.86,Selalu repeat order karena kualitasnya terjaga. Eos occaecati suscipit facere deleniti architecto optio.,0.285,77,15.85,6.56,Low,7,0.25,Growth
10,9232562,-13.64,1.085,89,4.39,"Transaksi digital lancar, proses checkout tidak ribet.",0.182,90,17.3,3.22,Low,9,-0.25,Struggling
11,5185817,14.65,0.856,131,4.58,"Pengiriman cepat, admin komunikatif. Voluptates sequi sint fugit iste.",0.296,119,9.29,2.93,Low,6,0.55,Growth
12,8576272,9.97,0.845,185,4.7,Selalu repeat order karena kualitasnya terjaga. Cum explicabo pariatur praesentium placeat architecto.,0.303,102,32.18,5.9,Low,5,0.25,Growth
13,6921656,-7.62,1.089,118,4.16,"Produk cukup baik, kadang waktu tunggu agak lama.",0.515,106,17.94,5.21,Med,15,0.0,Struggling
14,11406669,27.6,0.733,179,4.66,"Kualitas produk konsisten, harga masih masuk akal.",0.238,154,23.47,6.63,Low,8,0.2,Growth
15,5134697,-17.74,1.192,109,3.34,Respons admin lambat dan informasi kurang jelas. Modi doloribus iure earum.,0.565,133,17.17,1.04,Med,13,-0.55,Critical
16,35355945,13.79,0.858,172,4.01,"Pelayanan standar, masih bisa ditingkatkan.",0.243,152,15.59,3.72,Low,8,0.0,Growth
17,10714242,33.99,0.667,158,4.83,Aplikasi pemesanan mudah dipakai dan responsif. Dolor eveniet quisquam animi reprehenderit rem illo.,0.244,55,25.56,7.39,Low,12,0.55,Elite
18,1506570,-11.0,1.094,46,3.56,Kadang stok kosong saat jam ramai. Distinctio velit soluta et.,0.2,4,6.01,1.99,Low,12,0.0,Critical
19,5682700,13.3,0.833,134,3.96,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.411,90,9.63,2.73,Med,5,0.0,Growth
20,21875387,10.28,0.837,206,4.29,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.201,160,19.67,4.92,Low,10,0.8,Growth
21,8303241,15.86,0.876,68,4.66,Selalu repeat order karena kualitasnya terjaga. Id totam itaque eaque doloribus natus ea.,0.272,40,16.55,5.63,Low,10,0.25,Growth
